episode,reward,length,elapsed_s,steps
1,-24.0,1761,0.6,436
2,-24.0,1735,1.2,861
3,-24.0,1737,1.8,1289
4,-23.0,2132,2.4,1815
5,-24.0,1555,3.0,2202
6,-24.0,1702,3.5,2622
7,-24.0,2186,4.2,3164
8,-24.0,1723,4.8,3586
9,-24.0,1607,5.3,3984
10,-23.0,1897,6.0,4452
11,-23.0,1666,6.6,4863
12,-24.0,1607,7.1,5258
13,-24.0,1813,7.7,5708
14,-24.0,2210,8.4,6256
15,-24.0,1864,9.0,6715
16,-24.0,2071,9.6,7226
17,-24.0,1714,10.2,7653
18,-24.0,1964,10.9,8138
19,-24.0,1779,11.4,8580
20,-23.0,2099,12.1,9100
21,-24.0,1799,12.7,9545
22,-24.0,1799,13.3,9987
23,-23.0,3273,18.9,10798
24,-23.0,2657,23.5,11455
25,-24.0,2004,27.0,11954
26,-24.0,2037,30.6,12457
27,-23.0,1969,33.9,12946
28,-24.0,2142,37.6,13480
29,-24.0,2726,42.4,14160
30,-24.0,2743,47.1,14840
31,-24.0,1796,50.3,15286
32,-24.0,2373,54.4,15875
33,-24.0,2529,58.8,16504
34,-24.0,3667,65.1,17412
35,-24.0,3687,71.6,18325
36,-24.0,2901,76.6,19045
37,-23.0,2640,81.2,19702
38,-24.0,4566,89.2,20837
39,-24.0,1608,92.0,21230
40,-24.0,1651,94.9,21638
41,-24.0,4133,102.1,22667
42,-24.0,3384,108.0,23508
43,-24.0,3058,113.5,24269
44,-24.0,11495,134.0,27135
45,-23.0,8708,149.5,29304
46,-23.0,5126,158.7,30579
47,-23.0,15590,186.5,34473
48,-18.0,27000,235.3,41219
49,-24.0,5222,244.6,42521
50,-2.0,27000,293.9,49269
51,-24.0,3207,299.7,50063
52,-1.0,27000,348.7,56804
53,-10.0,27000,397.9,63548
54,-9.0,27000,447.4,70296
55,-8.0,27000,496.9,77044
56,-1.0,27000,546.9,83790
57,-16.0,27000,597.0,90534
58,-1.0,27000,646.8,97279
59,-24.0,25255,693.5,103591
60,-16.0,27000,743.4,110332
61,-16.0,27000,793.6,117076
62,-17.0,27000,843.5,123821
63,-17.0,27000,893.8,130564
64,-24.0,11687,915.6,133482
65,-23.0,11462,936.6,136345
66,-24.0,3878,943.8,137306
67,-24.0,8966,960.2,139543
68,-24.0,1585,963.0,139931
69,-24.0,16710,993.9,144102
70,-24.0,5669,1004.4,145514
71,-24.0,21479,1044.2,150875
72,-24.0,5479,1054.3,152236
73,-16.0,27000,1222.6,158981
74,-24.0,25254,1409.4,165286
