episode,reward,length,elapsed_s,steps
1,-24.0,1761,2.2,436
2,-24.0,1735,4.7,861
3,-24.0,1737,7.4,1289
4,-23.0,2132,12.3,1815
5,-24.0,1555,15.1,2202
6,-24.0,1702,18.7,2622
7,-24.0,2186,21.3,3164
8,-24.0,1723,23.3,3586
9,-24.0,1607,25.4,3984
10,-23.0,1897,27.7,4452
11,-23.0,1666,31.2,4863
12,-24.0,1607,33.4,5258
13,-24.0,1813,37.9,5708
14,-24.0,2210,44.0,6256
15,-24.0,1864,49.4,6715
16,-24.0,2071,53.5,7226
17,-24.0,1714,55.5,7653
18,-24.0,1964,58.0,8138
19,-24.0,1779,60.0,8580
20,-23.0,2099,62.4,9100
21,-24.0,1799,64.1,9545
22,-24.0,1799,66.0,9987
23,-24.0,2336,87.5,10563
24,-24.0,1830,114.3,11014
25,-24.0,1960,126.6,11502
26,-24.0,1801,143.5,11946
27,-24.0,1783,161.3,12389
28,-24.0,2326,179.2,12969
29,-24.0,1927,200.6,13449
30,-24.0,2067,211.1,13960
31,-24.0,2470,235.6,14575
32,-24.0,1766,252.7,15012
33,-24.0,1587,272.4,15406
34,-24.0,1671,285.5,15815
35,-24.0,1673,305.5,16225
36,-23.0,1640,322.8,16630
37,-24.0,1607,325.6,17028
38,-24.0,1846,328.9,17483
39,-24.0,3230,334.6,18282
40,-24.0,1917,338.1,18757
41,-23.0,2663,342.8,19419
42,-24.0,2754,347.9,20102
43,-24.0,5156,357.2,21387
44,-24.0,1636,360.0,21788
45,-24.0,1958,363.5,22269
46,-23.0,2867,368.9,22980
47,-24.0,1639,371.8,23387
48,-24.0,4150,379.0,24420
49,-24.0,1855,382.3,24880
50,-24.0,2633,387.0,25536
51,-24.0,2441,391.3,26138
52,-24.0,1543,394.0,26515
53,-24.0,6199,405.1,28059
54,-24.0,6534,417.4,29691
55,-23.0,5766,428.2,31130
56,-24.0,1510,431.5,31503
57,-24.0,7128,444.6,33279
58,-24.0,4965,453.4,34516
59,-24.0,9432,470.2,36872
60,-24.0,4309,478.3,37941
61,-24.0,21350,517.8,43273
62,-8.0,27000,566.0,50018
63,-24.0,25716,612.1,56440
64,-10.0,27000,660.2,63187
65,-2.0,27000,708.5,69934
66,-8.0,27000,756.7,76676
67,-24.0,12967,780.0,79914
68,-24.0,22695,820.4,85579
69,-24.0,20745,857.5,90759
70,-18.0,27000,915.3,97504
71,-24.0,20573,956.1,102638
72,-24.0,25990,1002.5,109127
73,-24.0,4995,1011.4,110370
74,-24.0,7542,1024.9,112247
75,-24.0,25574,1070.4,118632
76,-24.0,10791,1089.8,121324
77,-23.0,3847,1096.8,122282
78,-24.0,26302,1143.9,128851
79,-18.0,27000,1192.3,135597
80,-24.0,20135,1228.5,140627
81,-24.0,10450,1247.2,143233
82,-24.0,6240,1258.2,144784
83,-24.0,19815,1293.7,149730
84,-8.0,27000,1342.1,156475
85,-8.0,27000,1400.0,163222
86,-1.0,27000,1460.2,169969
87,-24.0,14021,1485.4,173466
88,-24.0,6469,1496.9,175076
89,-18.0,27000,1545.8,181823
90,-18.0,27000,1594.2,188569
91,-9.0,27000,1644.1,195314
92,-24.0,9127,1660.5,197592
